location,                                                   type,           hint,                 scene,                          id,                         item
Kokiri Forest Grass Adult Near Crawl 6,                     grass,          NONE,                 KOKIRI_FOREST,                  0x08014,                    RANDOM
Kokiri Forest Grass Adult Near Crawl 7,                     grass,          NONE,                 KOKIRI_FOREST,                  0x08015,                    RANDOM
Kokiri Forest Grass Adult Near Crawl 8,                     grass,          NONE,                 KOKIRI_FOREST,                  0x08016,                    RANDOM
Kokiri Forest Rock Child 1,                                 rock,           NONE,                 KOKIRI_FOREST,                  0x0002a,                    NOTHING
Kokiri Forest Rock Child 2,                                 rock,           NONE,                 KOKIRI_FOREST,                  0x0002b,                    NOTHING
Kokiri Forest Rock Child 3,                                 rock,           NONE,                 KOKIRI_FOREST,                  0x0002c,                    NOTHING
Kokiri Forest Rock Child 4,                                 rock,           NONE,                 KOKIRI_FOREST,                  0x0002d,                    NOTHING
Kokiri Forest Rock Child 5,                                 rock,           NONE,                 KOKIRI_FOREST,                  0x0002e,                    RANDOM
Kokiri Forest Rock Child 6,                                 rock,           NONE,                 KOKIRI_FOREST,                  0x0002f,                    RANDOM
Kokiri Forest Rock Child 7,                                 rock,           NONE,                 KOKIRI_FOREST,                  0x00030,                    RANDOM
Kokiri Forest Rock Child 8,                                 rock,           NONE,                 KOKIRI_FOREST,                  0x00031,                    RANDOM
Kokiri Forest Rock Circle Rock 1,                           rock,           NONE,                 KOKIRI_FOREST,                  0x00032,                    RANDOM
Kokiri Forest Rock Circle Rock 2,                           rock,           NONE,                 KOKIRI_FOREST,                  0x10032,                    RANDOM
Kokiri Forest Rock Circle Rock 3,                           rock,           NONE,                 KOKIRI_FOREST,                  0x20032,                    RANDOM
Kokiri Forest Rock Circle Rock 4,                           rock,           NONE,                 KOKIRI_FOREST,                  0x30032,                    RANDOM
Kokiri Forest Rock Circle Rock 5,                           rock,           NONE,                 KOKIRI_FOREST,                  0x40032,                    RANDOM
Kokiri Forest Rock Circle Rock 6,                           rock,           NONE,                 KOKIRI_FOREST,                  0x50032,                    RANDOM
Kokiri Forest Rock Circle Rock 7,                           rock,           NONE,                 KOKIRI_FOREST,                  0x60032,                    RANDOM
Kokiri Forest Rock Circle Rock 8,                           rock,           NONE,                 KOKIRI_FOREST,                  0x70032,                    RANDOM
Kokiri Forest Cow,                                          cow,            COW_LINK,             KOKIRI_FOREST,                  0x00,                       MILK
Kokiri Forest Storms Grotto Grass 1,                        grass,          NONE,                 GROTTOS,                        0x02c02,                    RANDOM
Kokiri Forest Storms Grotto Grass 2,                        grass,          NONE,                 GROTTOS,                        0x02c03,                    RANDOM
Kokiri Forest Storms Grotto Grass 3,                        grass,          NONE,                 GROTTOS,                        0x02c04,                    RANDOM
Kokiri Forest Storms Grotto Grass 4,                        grass,          NONE,                 GROTTOS,                        0x02c05,                    RANDOM
Kokiri Forest Storms Grotto Hive 1,                         hive,           NONE,                 GROTTOS,                        0x02c07,                    RUPEE_BLUE
Kokiri Forest Storms Grotto Hive 2,                         hive,           NONE,                 GROTTOS,                        0x02c08,                    RUPEE_RED
Kokiri Forest Storms Grotto Butterfly 1,                    butterfly,      NONE,                 GROTTOS,                        0x02c06,                    FAIRY
Kokiri Forest Storms Grotto Butterfly 2,                    butterfly,      NONE,                 GROTTOS,                        0x12c06,                    NOTHING
Kokiri Forest Storms Grotto Butterfly 3,                    butterfly,      NONE,                 GROTTOS,                        0x22c06,                    NOTHING
Kokiri Forest Rupee Child 1,                                rupee,          NONE,                 KOKIRI_FOREST,                  0x00005,                    RUPEE_BLUE
Kokiri Forest Rupee Child 2,                                rupee,          NONE,                 KOKIRI_FOREST,                  0x00006,                    RUPEE_BLUE
Kokiri Forest Rupee Crawl 1,                                rupee,          NONE,                 KOKIRI_FOREST,                  0x00200,                    RUPEE_BLUE
Kokiri Forest Rupee Crawl 2,                                rupee,          NONE,                 KOKIRI_FOREST,                  0x00201,                    RUPEE_BLUE
Kokiri Forest Rupee Adult 1,                                rupee,          NONE,                 KOKIRI_FOREST,                  0x0800b,                    RUPEE_GREEN
Kokiri Forest Rupee Adult 2,                                rupee,          NONE,                 KOKIRI_FOREST,                  0x1800b,                    RUPEE_GREEN
Kokiri Forest Rupee Adult 3,                                rupee,          NONE,                 KOKIRI_FOREST,                  0x2800b,                    RUPEE_GREEN
Kokiri Forest Rupee Adult 4,                                rupee,          NONE,                 KOKIRI_FOREST,                  0x3800b,                    RUPEE_GREEN
Kokiri Forest Rupee Adult 5,                                rupee,          NONE,                 KOKIRI_FOREST,                  0x4800b,                    RUPEE_GREEN
Kokiri Forest Rupee Adult 6,                                rupee,          NONE,                 KOKIRI_FOREST,                  0x5800b,                    RUPEE_GREEN
Kokiri Forest Rupee Adult 7,                                rupee,          NONE,                 KOKIRI_FOREST,                  0x6800b,                    RUPEE_RED
Kokiri Forest Heart 1,                                      heart,          NONE,                 KOKIRI_FOREST,                  0x00013,                    RECOVERY_HEART
Kokiri Forest Heart 2,                                      heart,          NONE,                 KOKIRI_FOREST,                  0x00014,                    RECOVERY_HEART
Kokiri Forest Heart 3,                                      heart,          NONE,                 KOKIRI_FOREST,                  0x00015,                    RECOVERY_HEART
Kokiri Forest Wonder Item Invisible Rupee 1,                wonder,         NONE,                 KOKIRI_FOREST,                  0x00001,                    RUPEE_GREEN
Kokiri Forest Wonder Item Invisible Rupee 2,                wonder,         NONE,                 KOKIRI_FOREST,                  0x00002,                    RUPEE_GREEN
Kokiri Forest Wonder Item Invisible Rupee 3,                wonder,         NONE,                 KOKIRI_FOREST,                  0x00003,                    RUPEE_GREEN
Kokiri Forest Wonder Item Invisible Rupee 4,                wonder,         NONE,                 KOKIRI_FOREST,                  0x00004,                    RUPEE_GREEN
Kokiri Forest Wonder Item Sign,                             wonder,         NONE,                 KOKIRI_FOREST,                  0x00020,                    RUPEE_BLUE
Kokiri Forest Wonder Item Midair 1,                         wonder,         NONE,                 KOKIRI_FOREST,                  0x00027,                    RUPEE_GREEN
Kokiri Forest Wonder Item Midair 2,                         wonder,         NONE,                 KOKIRI_FOREST,                  0x00028,                    RUPEE_GREEN
Kokiri Forest Wonder Item Midair 3,                         wonder,         NONE,                 KOKIRI_FOREST,                  0x00029,                    RUPEE_BLUE
Kokiri Forest Wonder Item Crawl 1,                          wonder,         NONE,                 KOKIRI_FOREST,                  0x00205,                    RUPEE_GREEN
Kokiri Forest Wonder Item Crawl 2,                          wonder,         NONE,                 KOKIRI_FOREST,                  0x00206,                    RUPEE_GREEN
Kokiri Forest Wonder Item Platforms 1,                      wonder,         NONE,                 KOKIRI_FOREST,                  0x00021,                    RUPEE_BLUE
Kokiri Forest Wonder Item Platforms 2,                      wonder,         NONE,                 KOKIRI_FOREST,                  0x00026,                    RUPEE_BLUE
Kokiri Forest Soil 1,                                       soil,           NONE,                 KOKIRI_FOREST,                  0x00049,                    FAIRY
Kokiri Forest Soil 2,                                       soil,           NONE,                 KOKIRI_FOREST,                  0x10049,                    FAIRY
Kokiri Forest Soil 3,                                       soil,           NONE,                 KOKIRI_FOREST,                  0x20049,                    FAIRY
Kokiri Shop Item 1,                                         shop,           NONE,                 KOKIRI_SHOP,                    0x00,                       RECOVERY_HEART
Kokiri Shop Item 2,                                         shop,           NONE,                 KOKIRI_SHOP,                    0x01,                       ARROWS_10
Kokiri Shop Item 3,                                         shop,           NONE,                 KOKIRI_SHOP,                    0x02,                       ARROWS_30
Kokiri Shop Item 4,                                         shop,           NONE,                 KOKIRI_SHOP,                    0x03,                       DEKU_SEEDS_30
Kokiri Shop Item 5,                                         shop,           NONE,                 KOKIRI_SHOP,                    0x04,                       NUTS_5
Kokiri Shop Item 6,                                         shop,           NONE,                 KOKIRI_SHOP,                    0x05,                       NUTS_10
Kokiri Shop Item 7,                                         shop,           NONE,                 KOKIRI_SHOP,                    0x06,                       STICK
Kokiri Shop Item 8,                                         shop,           NONE,                 KOKIRI_SHOP,                    0x07,                       SHIELD_DEKU
Kokiri Shop Wonder Item,                                    wonder,         NONE,                 KOKIRI_SHOP,                    0x00004,                    RUPEE_BLUE
Know It All House Pot 1,                                    pot,            NONE,                 KOKIRI_KNOW_IT_ALL,             0x0006,                     RUPEE_GREEN
Know It All House Pot 2,                                    pot,            NONE,                 KOKIRI_KNOW_IT_ALL,             0x0007,                     RUPEE_GREEN
Twins House Pot 1,                                          pot,            NONE,                 KOKIRI_TWINS,                   0x0002,                     RUPEE_GREEN
Twins House Pot 2,                                          pot,            NONE,                 KOKIRI_TWINS,                   0x0003,                     RUPEE_BLUE
Malon Egg,                                                  npc,            NONE,                 HYRULE_CASTLE,                  MALON_EGG,                  CHICKEN
Zelda's Letter,                                             npc,            NONE,                 CASTLE_COURTYARD,               ZELDA_LETTER,               ZELDA_LETTER
Zelda's Song,                                               npc,            NONE,                 CASTLE_COURTYARD,               ZELDA_SONG,                 SONG_ZELDA
Castle Courtyard Wonder Item,                               wonder,         NONE,                 CASTLE_COURTYARD,               0x00005,                    RUPEE_RED
Lost Woods Gift from Saria,                                 npc,            NONE,                 LOST_WOODS,                     SARIA_OCARINA,              OCARINA
Lost Woods Target,                                          npc,            NONE,                 LOST_WOODS,                     LOST_WOODS_TARGET,          SLINGSHOT
Lost Woods Skull Kid,                                       npc,            NONE,                 LOST_WOODS,                     LOST_WOODS_SKULL_KID,       HEART_PIECE
Lost Woods Sell Skull Mask,                                 npc,            NONE,                 LOST_WOODS,                     MASK_SELL_SKULL,            RUPEE_RED
Lost Woods Memory Game,                                     npc,            NONE,                 LOST_WOODS,                     LOST_WOODS_MEMORY,          HEART_PIECE
Lost Woods Scrub Sticks Upgrade,                            scrub,          NONE,                 LOST_WOODS,                     0x00,                       STICK_UPGRADE
Lost Woods Scrub Near Theater Left,                         scrub,          NONE,                 LOST_WOODS,                     0x01,                       STICK
Lost Woods Scrub Near Theater Right,                        scrub,          NONE,                 LOST_WOODS,                     0x02,                       NUTS_5
Lost Woods Odd Mushroom,                                    npc,            LOST_WOODS_TRADE,     LOST_WOODS,                     TRADE_ODD_MUSHROOM,         ODD_MUSHROOM
Lost Woods Poacher's Saw,                                   npc,            LOST_WOODS_TRADE,     LOST_WOODS,                     TRADE_POACHER_SAW,          POACHER_SAW
Lost Woods Grass 1,                                         grass,          NONE,                 LOST_WOODS,                     0x00202,                    RANDOM
Lost Woods Grass 2,                                         grass,          NONE,                 LOST_WOODS,                     0x00203,                    RANDOM
Lost Woods Grass 3,                                         grass,          NONE,                 LOST_WOODS,                     0x00204,                    RANDOM
Lost Woods Grass Deep 1,                                    grass,          NONE,                 LOST_WOODS,                     0x00701,                    RANDOM
Lost Woods Grass Deep 2,                                    grass,          NONE,                 LOST_WOODS,                     0x00702,                    RANDOM
Lost Woods Grass Deep 3,                                    grass,          NONE,                 LOST_WOODS,                     0x00703,                    RANDOM
Lost Woods Grass Deep 4,                                    grass,          NONE,                 LOST_WOODS,                     0x00803,                    RANDOM
Lost Woods Grass Deep 5,                                    grass,          NONE,                 LOST_WOODS,                     0x00804,                    RANDOM
Lost Woods Grass Deep 6,                                    grass,          NONE,                 LOST_WOODS,                     0x00805,                    RANDOM
Lost Woods Grotto Scrub Nuts Upgrade,                       scrub,          NONE,                 GROTTOS,                        0x03,                       NUT_UPGRADE
Lost Woods Grotto Scrub Back,                               scrub,          NONE,                 GROTTOS,                        0x04,                       DEKU_SEEDS_30
Lost Woods Grotto Scrub Big Fairy,                          fairy_spot,     NONE,                 GROTTOS,                        0x00600,                    FAIRY_BIG
Lost Woods Grotto Scrub Hive,                               hive,           NONE,                 GROTTOS,                        0x00603,                    RUPEE_RED
Lost Woods Grotto Generic,                                  chest,          NONE,                 GROTTOS,                        0x14,                       RUPEE_BLUE
Lost Woods Grotto Generic Grass 1,                          grass,          NONE,                 GROTTOS,                        0x03402,                    RANDOM
Lost Woods Grotto Generic Grass 2,                          grass,          NONE,                 GROTTOS,                        0x03403,                    RANDOM
Lost Woods Grotto Generic Grass 3,                          grass,          NONE,                 GROTTOS,                        0x03404,                    RANDOM
Lost Woods Grotto Generic Grass 4,                          grass,          NONE,                 GROTTOS,                        0x03405,                    RANDOM
Lost Woods Grotto Generic Hive 1,                           hive,           NONE,                 GROTTOS,                        0x03407,                    RUPEE_BLUE
Lost Woods Grotto Generic Hive 2,                           hive,           NONE,                 GROTTOS,                        0x03408,                    RUPEE_RED
Lost Woods Grotto Generic Butterfly 1,                      butterfly,      NONE,                 GROTTOS,                        0x03406,                    FAIRY
Lost Woods Grotto Generic Butterfly 2,                      butterfly,      NONE,                 GROTTOS,                        0x13406,                    NOTHING
Lost Woods Grotto Generic Butterfly 3,                      butterfly,      NONE,                 GROTTOS,                        0x23406,                    NOTHING
Lost Woods GS Soil Bridge,                                  gs,             NONE,                 LOST_WOODS,                     0x70,                       GS_TOKEN
Lost Woods GS Soil Theater,                                 gs,             NONE,                 LOST_WOODS,                     0x71,                       GS_TOKEN
Lost Woods GS Bean Ride,                                    gs,             NONE,                 LOST_WOODS,                     0x72,                       GS_TOKEN
Lost Woods Rupee Arrow 1,                                   rupee,          NONE,                 LOST_WOODS,                     0x00304,                    RUPEE_GREEN
Lost Woods Rupee Arrow 2,                                   rupee,          NONE,                 LOST_WOODS,                     0x00305,                    RUPEE_GREEN
Lost Woods Rupee Arrow 3,                                   rupee,          NONE,                 LOST_WOODS,                     0x00306,                    RUPEE_GREEN
Lost Woods Rupee Arrow 4,                                   rupee,          NONE,                 LOST_WOODS,                     0x00307,                    RUPEE_GREEN
Lost Woods Rupee Arrow 5,                                   rupee,          NONE,                 LOST_WOODS,                     0x00308,                    RUPEE_GREEN
Lost Woods Rupee Arrow 6,                                   rupee,          NONE,                 LOST_WOODS,                     0x00309,                    RUPEE_GREEN
Lost Woods Rupee Arrow 7,                                   rupee,          NONE,                 LOST_WOODS,                     0x0030a,                    RUPEE_GREEN
Lost Woods Rupee Arrow 8,                                   rupee,          NONE,                 LOST_WOODS,                     0x0030b,                    RUPEE_GREEN
Lost Woods Rupee Boulder,                                   rupee,          NONE,                 LOST_WOODS,                     0x00704,                    RUPEE_BLUE
Lost Woods Pool Big Fairy,                                  fairy_spot,     NONE,                 LOST_WOODS,                     0x00303,                    FAIRY_BIG
Lost Woods Wonder Item 1,                                   wonder,         NONE,                 LOST_WOODS,                     0x00105,                    RUPEE_GREEN
Lost Woods Wonder Item 2,                                   wonder,         NONE,                 LOST_WOODS,                     0x00106,                    RUPEE_GREEN
Lost Woods Wonder Item 3,                                   wonder,         NONE,                 LOST_WOODS,                     0x00107,                    RUPEE_BLUE
Lost Woods Butterfly 1,                                     butterfly,      NONE,                 LOST_WOODS,                     0x00601,                    FAIRY
Lost Woods Butterfly 2,                                     butterfly,      NONE,                 LOST_WOODS,                     0x10601,                    NOTHING
Lost Woods Butterfly 3,                                     butterfly,      NONE,                 LOST_WOODS,                     0x20601,                    NOTHING
Lost Woods Butterfly 4,                                     butterfly,      NONE,                 LOST_WOODS,                     0x30601,                    NOTHING
Lost Woods Butterfly 5,                                     butterfly,      NONE,                 LOST_WOODS,                     0x40601,                    NOTHING
Lost Woods Soil Early 1,                                    soil,           NONE,                 LOST_WOODS,                     0x00503,                    FAIRY
Lost Woods Soil Early 2,                                    soil,           NONE,                 LOST_WOODS,                     0x10503,                    FAIRY
Lost Woods Soil Early 3,                                    soil,           NONE,                 LOST_WOODS,                     0x20503,                    FAIRY
Lost Woods Soil Late 1,                                     soil,           NONE,                 LOST_WOODS,                     0x00605,                    FAIRY
Lost Woods Soil Late 2,                                     soil,           NONE,                 LOST_WOODS,                     0x10605,                    FAIRY
Lost Woods Soil Late 3,                                     soil,           NONE,                 LOST_WOODS,                     0x20605,                    FAIRY
Deku Theater Sticks Upgrade,                                npc,            NONE,                 GROTTOS,                        THEATER_STICKS,             STICK_UPGRADE
Deku Theater Nuts Upgrade,                                  npc,            NONE,                 GROTTOS,                        THEATER_NUTS,               NUT_UPGRADE
Saria's Song,                                               npc,            NONE,                 SACRED_FOREST_MEADOW,           SARIA_SONG,                 SONG_SARIA
Sacred Meadow Sheik Song,                                   npc,            NONE,                 SACRED_FOREST_MEADOW,           SHEIK_FOREST,               SONG_TP_FOREST
Sacred Meadow Grotto,                                       chest,          NONE,                 GROTTOS,                        0x11,                       RUPEE_PURPLE
Sacred Meadow GS Night Adult,                               gs,             NONE,                 SACRED_FOREST_MEADOW,           0x73,                       GS_TOKEN
Sacred Meadow Storms Grotto Front Scrub,                    scrub,          NONE,                 GROTTOS,                        0x05,                       POTION_GREEN
Sacred Meadow Storms Grotto Back Scrub,                     scrub,          NONE,                 GROTTOS,                        0x06,                       POTION_RED
Sacred Meadow Storms Grotto Hive,                           hive,           NONE,                 GROTTOS,                        0x02102,                    RUPEE_RED
Sacred Meadow Fairy Fountain Fairy 1,                       fairy,          NONE,                 FAIRY_FOUNTAIN,                 0x02200,                    FAIRY
Sacred Meadow Fairy Fountain Fairy 2,                       fairy,          NONE,                 FAIRY_FOUNTAIN,                 0x12200,                    FAIRY
Sacred Meadow Fairy Fountain Fairy 3,                       fairy,          NONE,                 FAIRY_FOUNTAIN,                 0x22200,                    FAIRY
Sacred Meadow Fairy Fountain Fairy 4,                       fairy,          NONE,                 FAIRY_FOUNTAIN,                 0x32200,                    FAIRY
Sacred Meadow Fairy Fountain Fairy 5,                       fairy,          NONE,                 FAIRY_FOUNTAIN,                 0x42200,                    FAIRY
Sacred Meadow Fairy Fountain Fairy 6,                       fairy,          NONE,                 FAIRY_FOUNTAIN,                 0x52200,                    FAIRY
Sacred Meadow Fairy Fountain Fairy 7,                       fairy,          NONE,                 FAIRY_FOUNTAIN,                 0x62200,                    FAIRY
Sacred Meadow Fairy Fountain Fairy 8,                       fairy,          NONE,                 FAIRY_FOUNTAIN,                 0x72200,                    FAIRY
Sacred Meadow Wonder Item Entrance,                         wonder,         NONE,                 SACRED_FOREST_MEADOW,           0x0000f,                    RUPEE_BLUE
Sacred Meadow Wonder Item Maze 1,                           wonder,         NONE,                 SACRED_FOREST_MEADOW,           0x0000c,                    RUPEE_GREEN
Sacred Meadow Wonder Item Maze 2,                           wonder,         NONE,                 SACRED_FOREST_MEADOW,           0x0000d,                    RUPEE_GREEN
Sacred Meadow Wonder Item Maze 3,                           wonder,         NONE,                 SACRED_FOREST_MEADOW,           0x0000e,                    RUPEE_GREEN
Sacred Meadow Wonder Item Maze 4,                           wonder,         NONE,                 SACRED_FOREST_MEADOW,           0x00010,                    RUPEE_BLUE
Sacred Meadow Wonder Item Maze 5,                           wonder,         NONE,                 SACRED_FOREST_MEADOW,           0x00011,                    RUPEE_BLUE
Kakariko Anju Bottle,                                       npc,            NONE,                 KAKARIKO_VILLAGE,               ANJU_BOTTLE,                BOTTLE_EMPTY
Kakariko Anju Egg,                                          npc,            NONE,                 KAKARIKO_VILLAGE,               TRADE_POCKET_EGG,           POCKET_CUCCO
Kakariko Anju Cojiro,                                       npc,            NONE,                 KAKARIKO_VILLAGE,               TRADE_COJIRO,               COJIRO
Kakariko Song Shadow,                                       npc,            RAVAGED_VILLAGE,      KAKARIKO_VILLAGE,               SHEIK_SHADOW,               SONG_TP_SHADOW
Kakariko Man on Roof,                                       npc,            NONE,                 KAKARIKO_VILLAGE,               KAKARIKO_ROOF_MAN,          HEART_PIECE
Kakariko Sell Keaton Mask,                                  npc,            NONE,                 KAKARIKO_VILLAGE,               MASK_SELL_KEATON,           RUPEE_RED
Kakariko Impa House HP,                                     collectible,    NONE,                 IMPA_HOUSE,                     0x01,                       HEART_PIECE
Kakariko Impa House Wonder Item,                            wonder,         NONE,                 IMPA_HOUSE,                     0x00006,                    RUPEE_RED
Kakariko Grotto Front,                                      chest,          NONE,                 GROTTOS,                        0x0a,                       RUPEE_HUGE
Kakariko Grotto Back,                                       chest,          NONE,                 GROTTOS,                        0x08,                       RUPEE_RED
Kakariko Grotto Back Grass 1,                               grass,          NONE,                 GROTTOS,                        0x02802,                    RANDOM
Kakariko Grotto Back Grass 2,                               grass,          NONE,                 GROTTOS,                        0x02803,                    RANDOM
Kakariko Grotto Back Grass 3,                               grass,          NONE,                 GROTTOS,                        0x02804,                    RANDOM
Kakariko Grotto Back Grass 4,                               grass,          NONE,                 GROTTOS,                        0x02805,                    RANDOM
Kakariko Grotto Back Hive 1,                                hive,           NONE,                 GROTTOS,                        0x02807,                    RUPEE_BLUE
Kakariko Grotto Back Hive 2,                                hive,           NONE,                 GROTTOS,                        0x02808,                    RUPEE_RED
Kakariko Grotto Butterfly 1,                                butterfly,      NONE,                 GROTTOS,                        0x02806,                    FAIRY
Kakariko Grotto Butterfly 2,                                butterfly,      NONE,                 GROTTOS,                        0x12806,                    NOTHING
Kakariko Grotto Butterfly 3,                                butterfly,      NONE,                 GROTTOS,                        0x22806,                    NOTHING
Kakariko GS Roof,                                           gs,             NONE,                 KAKARIKO_VILLAGE,               0x8e,                       GS_TOKEN
Kakariko GS Shooting Gallery,                               gs,             NONE,                 KAKARIKO_VILLAGE,               0x8b,                       GS_TOKEN
Kakariko GS Tree,                                           gs,             NONE,                 KAKARIKO_VILLAGE,               0x8d,                       GS_TOKEN
Kakariko GS House of Skulltula,                             gs,             NONE,                 KAKARIKO_VILLAGE,               0x8c,                       GS_TOKEN
Kakariko GS Bazaar,                                         gs,             NONE,                 KAKARIKO_VILLAGE,               0x89,                       GS_TOKEN
Kakariko GS Ladder,                                         gs,             NONE,                 KAKARIKO_VILLAGE,               0x8a,                       GS_TOKEN
Kakariko Cow,                                               cow,            NONE,                 KAKARIKO_VILLAGE,               0x06,                       MILK
Kakariko Pot 01,                                            pot,            NONE,                 KAKARIKO_VILLAGE,               0x0008,                     RECOVERY_HEART
Kakariko Pot 02,                                            pot,            NONE,                 KAKARIKO_VILLAGE,               0x0009,                     RECOVERY_HEART
Kakariko Pot 03,                                            pot,            NONE,                 KAKARIKO_VILLAGE,               0x000a,                     RECOVERY_HEART
Kakariko Pot 04,                                            pot,            NONE,                 KAKARIKO_VILLAGE,               0x000b,                     RECOVERY_HEART
Kakariko Pot 05,                                            pot,            NONE,                 KAKARIKO_VILLAGE,               0x000c,                     RECOVERY_HEART
